WARD 1,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,967,333,34.44%
2,875,251,28.69%
3,945,312,33.02%
4,986,307,31.14%
5,924,289,31.28%
6,889,294,33.07%
7,599,235,39.23%
8,823,287,34.87%
9,687,290,42.21%
10,1087,298,27.41%
11,950,326,34.32%
12,1050,362,34.48%
13,422,161,38.15%
14,790,301,38.10%
15,809,265,32.76%
16,1003,363,36.19%
17,791,287,36.28%
18,921,309,33.55%
19,956,348,36.40%
20,698,240,34.38%
21,1140,317,27.81%
22,586,201,34.30%
23,1103,429,38.89%
24,967,253,26.16%
25,909,270,29.70%
26,757,199,26.29%
27,949,298,31.40%
28,339,112,33.04%
29,987,402,40.73%
30,986,336,34.08%
31,901,316,35.07%
32,838,317,37.83%
33,1011,354,35.01%
34,688,233,33.87%
35,1102,389,35.30%
36,904,303,33.52%
37,894,304,34.00%
38,854,269,31.50%
39,820,253,30.85%
40,881,339,38.48%
41,514,218,42.41%
42,288,100,34.72%
43,581,179,30.81%
44,691,261,37.77%
Total,"36,862","12,510",33.94%
,,,
WARD 2,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,1015,269,26.50%
2,621,276,44.44%
3,992,307,30.95%
4,815,229,28.10%
5,1012,316,31.23%
6,871,265,30.42%
7,1538,251,16.32%
8,1110,283,25.50%
9,780,225,28.85%
10,668,344,51.50%
11,868,376,43.32%
12,804,311,38.68%
13,691,321,46.45%
14,894,354,39.60%
15,886,295,33.30%
16,874,240,27.46%
17,988,386,39.07%
18,800,291,36.38%
19,600,300,50.00%
20,1056,256,24.24%
21,908,337,37.11%
22,866,368,42.49%
23,539,301,55.84%
24,761,310,40.74%
25,942,315,33.44%
26,847,266,31.40%
27,772,312,40.41%
28,896,309,34.49%
29,961,299,31.11%
30,719,257,35.74%
31,961,411,42.77%
32,699,184,26.32%
33,1121,501,44.69%
34,621,339,54.59%
35,1125,305,27.11%
36,907,319,35.17%
37,718,317,44.15%
38,737,316,42.88%
39,677,241,35.60%
40,1238,308,24.88%
41,1008,225,22.32%
42,904,264,29.20%
43,1163,354,30.44%
44,487,198,40.66%
45,1025,333,32.49%
46,510,154,30.20%
Total,"39,995","13,738",34.35%
,,,
WARD 3,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,1256,409,32.56%
2,838,468,55.85%
3,883,325,36.81%
4,871,378,43.40%
5,689,189,27.43%
6,1025,417,40.68%
7,561,273,48.66%
8,846,239,28.25%
9,886,342,38.60%
10,561,134,23.89%
11,849,302,35.57%
12,729,386,52.95%
13,879,414,47.10%
14,923,328,35.54%
15,850,265,31.18%
16,824,260,31.55%
17,1189,359,30.19%
18,1424,399,28.02%
19,925,396,42.81%
20,899,332,36.93%
21,898,408,45.43%
22,1173,410,34.95%
23,882,256,29.02%
24,805,269,33.42%
25,1415,564,39.86%
26,843,464,55.04%
